Serial No.;GRE Score;TOEFL Score;University Rating;SOP;LOR ;CGPA;Research;Chance of Admit 
78;301;99;2;3;2;8.22;0;0.64
79;296;95;2;3;2;7.54;1;0.44
88;317;107;2;3.5;3;8.28;0;0.66
91;318;106;2;4;4;7.92;1;0.64
93;298;98;2;4;3;8.03;0;0.34
94;301;97;2;3;3;7.88;1;0.44
97;306;100;2;3;3;8;0;0.48
102;312;105;2;2.5;3;8.12;0;0.64
103;314;106;2;4;3.5;8.25;0;0.62
104;317;104;2;4.5;4;8.47;0;0.57
114;320;110;2;4;3.5;8.56;0;0.72
119;296;99;2;3;3.5;7.28;0;0.47
138;316;100;2;1.5;3;8.16;1;0.71
139;326;116;2;4.5;3;9.08;1;0.8
141;329;110;2;4;3;9.15;1;0.84
142;332;118;2;4.5;3.5;9.36;1;0.9
145;325;112;2;3;3.5;8.96;1;0.8
146;320;113;2;2;2.5;8.64;1;0.81
150;311;106;2;3.5;3;8.26;1;0.79
158;309;104;2;2;2.5;8.26;0;0.65
159;306;106;2;2;2.5;8.14;0;0.61
169;293;97;2;2;4;7.8;1;0.64
170;311;99;2;2.5;3;7.98;0;0.65
171;312;101;2;2.5;3.5;8.04;1;0.68
182;305;107;2;2.5;2.5;8.42;0;0.71
183;299;100;2;3;3.5;7.88;0;0.68
185;316;106;2;2.5;4;8.32;0;0.72
196;307;107;2;3;3.5;8.52;1;0.78
197;306;105;2;3;2.5;8.26;0;0.73
198;310;106;2;3.5;2.5;8.33;0;0.73
202;315;110;2;3.5;3;8.46;1;0.72
206;295;99;2;2.5;3;7.65;0;0.57
207;315;99;2;3.5;3;7.89;0;0.63
209;305;106;2;3;3;8.16;0;0.64
224;308;109;2;3;4;8.45;0;0.71
225;305;105;2;3;2;8.23;0;0.67
226;296;99;2;2.5;2.5;8.03;0;0.61
227;306;110;2;3.5;4;8.45;0;0.63
228;312;110;2;3.5;3;8.53;0;0.64
233;312;107;2;2.5;3.5;8.27;0;0.69
234;304;100;2;2.5;3.5;8.07;0;0.64
242;317;103;2;2.5;2;8.15;0;0.65
245;314;107;2;2.5;4;8.56;0;0.63
248;311;104;2;2.5;3.5;8.48;0;0.71
252;316;99;2;2.5;3;9;0;0.7
253;318;100;2;2.5;3.5;8.54;1;0.71
263;308;103;2;2.5;4;8.36;1;0.7
265;325;110;2;3;2.5;8.76;1;0.75
267;312;105;2;2;2.5;8.45;0;0.72
271;306;105;2;2.5;3;8.22;1;0.72
272;299;96;2;1.5;2;7.86;0;0.54
278;320;101;2;2.5;3;8.62;0;0.7
279;308;103;2;3;3.5;8.49;0;0.66
280;304;102;2;3;4;8.73;0;0.67
291;307;105;2;2.5;3;7.65;0;0.58
292;300;102;2;1.5;2;7.87;0;0.56
293;302;99;2;1;2;7.97;0;0.56
295;316;101;2;2.5;2;8.32;1;0.61
296;317;100;2;3;2.5;8.57;0;0.68
301;309;106;2;2.5;2.5;8;0;0.62
302;319;108;2;2.5;3;8.76;0;0.66
303;322;105;2;3;3;8.45;1;0.65
305;313;106;2;2.5;2;8.43;0;0.62
315;305;105;2;3;4;8.13;0;0.66
316;308;104;2;2.5;3;8.07;0;0.65
317;298;101;2;1.5;2;7.86;0;0.54
323;314;107;2;2.5;4;8.27;0;0.72
324;305;102;2;2;2.5;8.18;0;0.62
328;295;101;2;2.5;2;7.86;0;0.69
330;297;96;2;2.5;1.5;7.89;0;0.43
332;311;105;2;3;2;8.12;1;0.73
344;305;103;2;2.5;3.5;8.13;0;0.59
345;295;96;2;1.5;2;7.34;0;0.47
347;304;97;2;1.5;2;7.64;0;0.47
353;303;100;2;3;3.5;8.06;1;0.64
355;297;98;2;2.5;3;7.67;0;0.59
356;317;106;2;2;3.5;8.12;0;0.73
358;301;104;2;3.5;3.5;7.89;1;0.68
359;314;105;2;2.5;2;7.64;0;0.7
360;321;107;2;2;1.5;8.44;0;0.81
364;306;103;2;2.5;3;8.36;0;0.69
371;310;103;2;2.5;2.5;8.24;0;0.72
375;315;105;2;2;2.5;7.65;0;0.39
376;304;101;2;2;2.5;7.66;0;0.38
377;297;96;2;2.5;2;7.43;0;0.34
387;302;101;2;2.5;3.5;7.96;0;0.46
388;307;105;2;2;3.5;8.1;0;0.53
389;296;97;2;1.5;2;7.8;0;0.49
391;314;102;2;2;2.5;8.24;0;0.64
394;317;104;2;3;3;8.76;0;0.77
401;304;100;2;3.5;3;8.22;0;0.63
402;315;105;2;3;3;8.34;0;0.66
412;313;94;2;2.5;1.5;8.13;0;0.56
419;309;111;2;2.5;4;8.03;0;0.6
420;308;102;2;2;3.5;7.98;1;0.58
429;316;103;2;2;4.5;8.74;0;0.69
432;320;112;2;3.5;3.5;8.78;1;0.73
436;309;105;2;2.5;4;7.68;0;0.55
440;312;105;2;1.5;3;8.46;0;0.66
441;305;104;2;2.5;1.5;7.79;0;0.53
449;312;109;2;2.5;4;9.02;0;0.8
455;310;105;2;3;3.5;8.01;0;0.71
456;305;102;2;1.5;2.5;7.64;0;0.59
457;299;100;2;2;2;7.88;0;0.51
465;298;97;2;2;3;7.21;0;0.45
474;316;102;2;4;3.5;8.15;0;0.67
486;311;101;2;2.5;3.5;8.34;1;0.7
491;307;105;2;2.5;4.5;8.12;1;0.67
494;300;95;2;3;1.5;8.22;1;0.62
3;316;104;3;3;3.5;8;1;0.72
4;322;110;3;3.5;2.5;8.67;1;0.8
7;321;109;3;3;4;8.2;1;0.75
10;323;108;3;3.5;3;8.6;0;0.45
11;325;106;3;3.5;4;8.4;1;0.52
14;307;109;3;4;3;8;1;0.62
15;311;104;3;3.5;2;8.2;1;0.61
16;314;105;3;3.5;2.5;8.3;0;0.54
17;317;107;3;4;3;8.7;0;0.66
18;319;106;3;4;3;8;1;0.65
19;318;110;3;4;3;8.8;0;0.63
20;303;102;3;3.5;3;8.5;0;0.62
21;312;107;3;3;2;7.9;1;0.64
32;327;103;3;4;4;8.3;1;0.74
41;308;110;3;3.5;3;8;1;0.46
49;321;110;3;3.5;5;8.85;1;0.82
51;313;98;3;2.5;4.5;8.3;1;0.76
55;322;110;3;3;3.5;8;0;0.7
56;320;103;3;3;3;7.7;0;0.64
57;316;102;3;2;3;7.4;0;0.64
62;307;101;3;4;3;8.2;0;0.47
65;325;111;3;3;3.5;8.7;0;0.52
67;327;114;3;3;3;9.02;0;0.61
69;318;109;3;3.5;4;9.22;1;0.68
75;314;106;3;3;5;8.9;0;0.74
77;327;112;3;3;3;8.72;1;0.74
81;312;105;3;2;3;8.02;1;0.5
87;315;106;3;4.5;3.5;8.42;0;0.72
89;314;108;3;4.5;3.5;8.14;0;0.64
92;299;97;3;5;3.5;7.66;0;0.38
95;303;99;3;2;2.5;7.66;0;0.36
98;331;120;3;4;4;8.96;1;0.86
100;323;113;3;4;4;8.88;1;0.79
101;322;107;3;3.5;3.5;8.46;1;0.71
105;326;112;3;3.5;3;9.05;1;0.74
106;316;110;3;4;4.5;8.78;1;0.69
113;301;107;3;3.5;3.5;8.34;1;0.62
115;311;105;3;3.5;3;8.45;1;0.59
117;299;102;3;4;3.5;8.62;0;0.56
124;308;108;3;3.5;3.5;8.22;0;0.61
126;300;100;3;2;3;8.66;1;0.64
127;323;113;3;4;3;9.32;1;0.85
128;319;112;3;2.5;2;8.71;1;0.78
129;326;112;3;3.5;3;9.1;1;0.84
137;312;103;3;5;4;8.45;0;0.76
147;315;105;3;2;2.5;8.48;0;0.75
148;326;114;3;3;3;9.11;1;0.83
154;324;105;3;3;4;8.75;0;0.79
155;326;108;3;3;3.5;8.89;0;0.8
156;312;109;3;3;3;8.69;0;0.77
157;315;105;3;2;2.5;8.34;0;0.7
163;318;109;3;3;3;8.5;0;0.67
164;317;105;3;3.5;3;8.56;0;0.68
167;302;102;3;3.5;5;8.33;0;0.65
168;313;102;3;2;3;8.27;0;0.64
178;319;110;3;3.5;3.5;9.04;0;0.82
179;309;108;3;2.5;3;8.12;0;0.72
180;307;102;3;3;3;8.27;0;0.73
181;300;104;3;3.5;3;8.16;0;0.71
184;314;110;3;4;4;8.8;0;0.75
187;317;107;3;3.5;3;8.68;1;0.84
195;316;109;3;3.5;3;8.76;0;0.77
199;311;104;3;4.5;4.5;8.43;0;0.7
200;313;107;3;4;4.5;8.69;0;0.72
201;317;103;3;2.5;3;8.54;1;0.73
205;298;105;3;3.5;4;8.54;0;0.69
208;310;102;3;3.5;4;8.02;1;0.66
210;301;104;3;3.5;4;8.12;1;0.68
220;312;104;3;3.5;3.5;8.42;0;0.74
221;313;103;3;4;4;8.75;0;0.76
222;316;110;3;3.5;4;8.56;0;0.75
229;318;112;3;4;3.5;8.67;0;0.71
231;313;104;3;4;4.5;8.65;0;0.73
232;319;106;3;3.5;2.5;8.33;1;0.74
239;310;104;3;2;3.5;8.37;0;0.7
243;324;115;3;3.5;3;8.76;1;0.7
244;325;114;3;3.5;3;9.04;1;0.76
247;316;105;3;3;3.5;8.73;0;0.72
249;324;110;3;3.5;4;8.87;1;0.8
250;321;111;3;3.5;4;8.83;1;0.77
251;320;104;3;3;2.5;8.57;1;0.74
257;309;99;3;4;4;8.56;0;0.76
258;324;100;3;4;5;8.64;1;0.78
262;312;104;3;3.5;4;8.09;0;0.71
264;324;111;3;2.5;1.5;8.79;1;0.7
266;313;102;3;2.5;2.5;8.68;0;0.71
268;314;107;3;3;3.5;8.17;1;0.73
276;322;110;3;3.5;3;8.96;1;0.78
281;311;102;3;4.5;4;8.64;1;0.68
282;317;110;3;4;4.5;9.11;1;0.8
283;312;106;3;4;3.5;8.79;1;0.81
284;321;111;3;2.5;3;8.9;1;0.8
290;313;109;3;4;3.5;9;0;0.79
297;310;107;3;3.5;3.5;8.67;0;0.76
298;320;120;3;4;4.5;9.11;0;0.86
299;330;114;3;4.5;4.5;9.24;1;0.9
300;305;112;3;3;3.5;8.65;0;0.71
304;323;107;3;3.5;3.5;8.55;1;0.73
306;321;109;3;3.5;3.5;8.8;1;0.74
307;323;110;3;4;3.5;9.1;1;0.79
309;312;108;3;3.5;3;8.53;0;0.69
311;320;104;3;3;3.5;8.74;1;0.76
314;301;100;3;3.5;3;8.04;0;0.67
319;324;111;3;2.5;2;8.8;1;0.79
321;317;106;3;4;3.5;8.5;1;0.75
322;323;104;3;4;4;8.44;1;0.73
325;315;104;3;3;2.5;8.33;0;0.67
326;326;116;3;3.5;4;9.14;1;0.81
327;299;100;3;2;2;8.02;0;0.63
331;327;113;3;3.5;3;8.66;1;0.8
333;308;106;3;3.5;2.5;8.21;1;0.75
334;319;108;3;3;3.5;8.54;1;0.71
337;319;110;3;3;2.5;8.79;0;0.72
341;312;107;3;3;3;8.46;1;0.75
342;326;110;3;3.5;3.5;8.76;1;0.79
343;308;106;3;3;3;8.24;0;0.58
350;313;101;3;2.5;3;8.04;0;0.62
351;318;107;3;3;3.5;8.27;1;0.74
354;300;102;3;3.5;2.5;8.17;0;0.63
357;327;109;3;3.5;4;8.77;1;0.79
361;322;110;3;4;5;8.64;1;0.85
365;313;102;3;3.5;4;8.9;1;0.77
367;320;104;3;3.5;4.5;8.34;1;0.74
372;324;110;3;3.5;3;9.22;1;0.89
374;321;109;3;3;3;8.54;1;0.79
381;322;104;3;3.5;4;8.84;1;0.78
382;319;105;3;3;3.5;8.67;1;0.73
384;300;100;3;3;3.5;8.26;0;0.62
390;320;108;3;3.5;4;8.44;1;0.76
392;318;106;3;2;3;8.65;0;0.71
396;324;110;3;3.5;3.5;9.04;1;0.82
397;325;107;3;3;3.5;9.11;1;0.84
399;312;103;3;3.5;4;8.78;0;0.67
403;324;109;3;3.5;3;8.94;1;0.78
405;311;101;3;2;2.5;7.64;1;0.62
406;302;99;3;2.5;3;7.45;0;0.52
408;298;100;3;2.5;4;7.95;1;0.58
409;297;101;3;2;4;7.67;1;0.57
414;317;101;3;3;2;7.94;1;0.49
417;315;104;3;4;2.5;8.1;0;0.65
418;316;103;3;3.5;2;7.68;0;0.52
421;299;100;3;2;3;7.42;0;0.42
422;321;112;3;3;4.5;8.95;1;0.77
427;312;106;3;3;5;8.57;0;0.71
428;310;101;3;3.5;5;8.65;1;0.71
431;311;104;3;4;3.5;8.13;1;0.74
435;306;103;3;3.5;3;8.21;0;0.64
448;320;108;3;3.5;5;8.97;1;0.84
450;315;101;3;3.5;4.5;9.13;0;0.79
454;319;103;3;2.5;4;8.76;1;0.73
462;301;102;3;2.5;2;8.13;1;0.68
464;304;107;3;3.5;3;7.86;0;0.57
472;311;103;3;2;4;8.09;0;0.64
476;300;101;3;3.5;2.5;7.88;0;0.59
477;304;104;3;2.5;2;8.12;0;0.62
479;318;103;3;4;4.5;8.49;1;0.71
481;321;102;3;3.5;4;9.01;1;0.8
485;317;106;3;3.5;3;7.89;1;0.73
487;319;102;3;2.5;2.5;8.37;0;0.68
489;322;112;3;3;4;8.62;1;0.76
490;302;110;3;4;4.5;8.5;0;0.65
495;301;99;3;2.5;2;8.45;1;0.68
1;337;118;4;4.5;4.5;9.65;1;0.92
2;324;107;4;4;4.5;8.87;1;0.76
12;327;111;4;4;4.5;9;1;0.84
13;328;112;4;4;4.5;9.1;1;0.78
22;325;114;4;3;2;8.4;0;0.7
33;338;118;4;3;4.5;9.4;1;0.91
44;332;117;4;4.5;4;9.1;0;0.87
50;327;111;4;3;4;8.4;1;0.78
53;334;116;4;4;3;8;1;0.78
54;324;112;4;4;2.5;8.1;1;0.72
66;325;112;4;3.5;3.5;8.92;0;0.55
70;328;115;4;4.5;4;9.16;1;0.78
74;314;108;4;4.5;4;9.04;1;0.84
82;340;120;4;5;5;9.5;1;0.96
86;319;103;4;4.5;3.5;8.66;0;0.76
90;316;109;4;4.5;3.5;8.76;1;0.74
96;304;100;4;1.5;2.5;7.84;0;0.42
99;332;119;4;5;4.5;9.24;1;0.9
107;329;111;4;4.5;4.5;9.18;1;0.87
108;338;117;4;3.5;4.5;9.46;1;0.91
112;321;109;4;4;4;8.68;1;0.69
116;310;106;4;4.5;4.5;9.04;1;0.66
118;290;104;4;2;2.5;7.46;0;0.45
123;310;106;4;1.5;2.5;8.36;0;0.57
125;301;106;4;2.5;3;8.47;0;0.57
136;314;109;4;3.5;4;8.77;1;0.82
144;340;120;4;4.5;4;9.92;1;0.97
149;339;116;4;4;3.5;9.8;1;0.96
151;334;114;4;4;4;9.43;1;0.93
165;329;111;4;4.5;4;9.01;1;0.81
173;322;110;4;4;5;9.13;1;0.86
174;323;113;4;4;4.5;9.23;1;0.89
175;321;111;4;4;4;8.97;1;0.87
176;320;111;4;4.5;3.5;8.87;1;0.85
177;329;119;4;4.5;4.5;9.16;1;0.9
186;327;113;4;4.5;4.5;9.11;1;0.89
211;325;108;4;4.5;4;9.06;1;0.79
212;328;110;4;5;4;9.14;1;0.82
213;338;120;4;5;5;9.66;1;0.95
215;331;117;4;4.5;5;9.42;1;0.94
217;322;112;4;4.5;4.5;9.26;1;0.91
218;321;109;4;4;4;9.13;1;0.85
219;324;110;4;3;3.5;8.97;1;0.84
223;324;113;4;4.5;4;8.79;0;0.76
230;324;111;4;3;3;9.01;1;0.82
237;325;112;4;4;4.5;9.17;1;0.85
246;328;110;4;4;2.5;9.02;1;0.81
254;335;115;4;4.5;4.5;9.68;1;0.93
255;321;114;4;4;5;9.12;0;0.85
256;307;110;4;4;4.5;8.37;0;0.79
259;326;102;4;5;5;8.76;1;0.77
260;331;119;4;5;4.5;9.34;1;0.9
269;327;113;4;4.5;5;9.14;0;0.83
270;308;108;4;4.5;5;8.34;0;0.77
285;340;112;4;5;4.5;9.66;1;0.94
289;314;104;4;5;5;9.02;0;0.82
308;325;112;4;4;4;9;1;0.8
310;308;110;4;3.5;3;8.6;0;0.7
312;328;108;4;4.5;4;9.18;1;0.84
313;311;107;4;4.5;4.5;9;1;0.78
320;327;113;4;3.5;3;8.69;1;0.8
329;324;112;4;4;3.5;8.77;1;0.8
335;312;107;4;4.5;4;8.65;1;0.73
336;325;111;4;4;4.5;9.11;1;0.83
352;325;110;4;3.5;4;8.67;1;0.73
362;334;116;4;4;3.5;9.54;1;0.93
366;330;114;4;4.5;3;9.17;1;0.86
373;336;119;4;4.5;4;9.62;1;0.95
383;324;110;4;4.5;4;9.15;1;0.82
385;340;113;4;5;5;9.74;1;0.96
393;326;112;4;4;3.5;9.12;1;0.84
395;329;111;4;4.5;4;9.23;1;0.89
398;330;116;4;5;4.5;9.45;1;0.91
400;333;117;4;5;4;9.66;1;0.95
404;330;116;4;4;3.5;9.23;1;0.91
407;322;103;4;3;2.5;8.02;1;0.61
413;314;102;4;2.5;2;7.88;1;0.59
415;321;110;4;3.5;4;8.35;1;0.72
416;327;106;4;4;4.5;8.75;1;0.76
423;322;112;4;3.5;2.5;9.02;1;0.73
433;324;112;4;4.5;4;9.22;1;0.86
434;316;111;4;4;5;8.54;0;0.71
443;331;116;4;4.5;4.5;9.44;1;0.92
447;327;118;4;5;5;9.67;1;0.93
451;320;112;4;3;4.5;8.86;1;0.82
452;324;113;4;4.5;4.5;9.25;1;0.89
453;328;116;4;5;3.5;9.6;1;0.93
460;329;113;4;4;3.5;9.36;1;0.89
461;319;105;4;4;4.5;8.66;1;0.77
463;307;105;4;3;3;7.94;0;0.62
466;305;96;4;3;4.5;8.26;0;0.54
467;314;99;4;3.5;4.5;8.73;1;0.71
469;323;110;4;4;5;8.88;1;0.81
470;326;114;4;4;3.5;9.16;1;0.86
473;327;116;4;4;4.5;9.48;1;0.9
475;308;105;4;3;2.5;7.95;1;0.67
478;309;105;4;3.5;2;8.18;0;0.65
480;325;110;4;4.5;4;8.96;1;0.79
482;323;107;4;3;2.5;8.48;1;0.78
483;328;113;4;4;2.5;8.77;1;0.83
488;327;115;4;3.5;4;9.14;0;0.79
492;297;99;4;3;3.5;7.81;0;0.54
493;298;101;4;2.5;4.5;7.69;1;0.53
499;312;103;4;4;5;8.43;0;0.73
500;327;113;4;4.5;4.5;9.04;0;0.84
6;330;115;5;4.5;3;9.34;1;0.9
23;328;116;5;5;5;9.5;1;0.94
24;334;119;5;5;4.5;9.7;1;0.95
25;336;119;5;4;3.5;9.8;1;0.97
26;340;120;5;4.5;4.5;9.6;1;0.94
27;322;109;5;4.5;3.5;8.8;0;0.76
34;340;114;5;4;4;9.6;1;0.9
35;331;112;5;4;5;9.8;1;0.94
36;320;110;5;5;5;9.2;1;0.88
45;326;113;5;4.5;4;9.4;1;0.91
46;322;110;5;5;4;9.1;1;0.88
47;329;114;5;4;5;9.3;1;0.86
48;339;119;5;4.5;4;9.7;0;0.89
71;332;118;5;5;5;9.64;1;0.94
72;336;112;5;5;5;9.76;1;0.96
73;321;111;5;5;5;9.45;1;0.93
83;320;110;5;5;4.5;9.22;1;0.92
84;322;115;5;4;4.5;9.36;1;0.92
85;340;115;5;4.5;4.5;9.45;1;0.94
109;331;116;5;5;5;9.38;1;0.93
110;304;103;5;5;4;8.64;0;0.68
111;305;108;5;3;3;8.48;0;0.61
120;327;104;5;3;3.5;8.84;1;0.71
121;335;117;5;5;5;9.56;1;0.94
122;334;119;5;4.5;4.5;9.48;1;0.94
130;333;118;5;5;5;9.35;1;0.92
131;339;114;5;4;4.5;9.76;1;0.96
132;303;105;5;5;4.5;8.65;0;0.77
133;309;105;5;3.5;3.5;8.56;0;0.71
134;323;112;5;4;4.5;8.78;0;0.79
135;333;113;5;4;4;9.28;1;0.89
143;331;115;5;4;3.5;9.44;1;0.92
152;332;116;5;5;5;9.28;1;0.94
153;321;112;5;5;5;9.06;1;0.86
166;322;110;5;4.5;4;8.97;0;0.78
172;334;117;5;4;4.5;9.07;1;0.89
188;335;118;5;4.5;3.5;9.44;1;0.93
189;331;115;5;4.5;3.5;9.36;1;0.93
190;324;112;5;5;5;9.08;1;0.88
191;324;111;5;4.5;4;9.16;1;0.9
192;323;110;5;4;5;8.98;1;0.87
193;322;114;5;4.5;4;8.94;1;0.86
194;336;118;5;4.5;5;9.53;1;0.94
203;340;120;5;4.5;4.5;9.91;1;0.97
204;334;120;5;4;5;9.87;1;0.97
214;333;119;5;5;4.5;9.78;1;0.96
216;330;116;5;5;4.5;9.36;1;0.93
235;330;113;5;5;4;9.31;1;0.91
236;326;111;5;4.5;4;9.23;1;0.88
238;329;114;5;4.5;5;9.19;1;0.86
261;327;108;5;5;3.5;9.13;1;0.87
277;329;113;5;5;4.5;9.45;1;0.89
286;331;116;5;4;4;9.26;1;0.93
287;336;118;5;4.5;4;9.19;1;0.92
288;324;114;5;5;4.5;9.08;1;0.89
338;332;118;5;5;5;9.47;1;0.94
339;323;108;5;4;4;8.74;1;0.81
340;324;107;5;3.5;4;8.66;1;0.81
363;338;115;5;4.5;5;9.23;1;0.91
386;335;117;5;5;5;9.82;1;0.96
424;334;119;5;4.5;5;9.54;1;0.94
425;325;114;5;4;5;9.46;1;0.91
426;323;111;5;4;5;9.86;1;0.92
430;340;115;5;5;4.5;9.06;1;0.95
444;321;114;5;4.5;4.5;9.16;1;0.87
445;324;113;5;4;5;9.25;1;0.92
446;328;116;5;4.5;5;9.08;1;0.91
468;318;101;5;3.5;5;8.78;1;0.78
471;320;110;5;4;4;9.27;1;0.87
484;304;103;5;5;3;7.92;0;0.71
496;332;108;5;4.5;4;9.02;1;0.87
497;337;117;5;5;5;9.87;1;0.96
498;330;120;5;4.5;5;9.56;1;0.93
